,tokens,ner_tags,langs,spans
0,"['मेलबोर्न', 'क्रिकेट', 'ग्रांउड']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: मेलबोर्न क्रिकेट ग्रांउड']
1,"['(', 'स्टार', 'प्लस', ')']","[0, 3, 4, 0]","['bh', 'bh', 'bh', 'bh']",['ORG: स्टार प्लस']
2,['शेक्सपियर'],[1],['bh'],['PER: शेक्सपियर']
3,"['**', 'तीस्ता', 'नदी', '(', 'या', 'तिस्ता', ')']","[0, 5, 6, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['LOC: तीस्ता नदी']
4,['इटावा'],[5],['bh'],['LOC: इटावा']
5,['अफ़ग़ानिस्तान'],[5],['bh'],['LOC: अफ़ग़ानिस्तान']
6,"[""'"", ""''"", 'मन', 'की', 'आवाज-प्रतिज्ञा', ""''"", ""'"", 'एगो', 'हिन्दी', 'टेलीविजन', 'नाटक', 'बा', 'जोहन', 'स्टार', 'प्लस', 'पर', 'प्रसारित', 'रहले।']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['ORG: स्टार प्लस']
7,"['दीया', 'और', 'बाती', 'हम']","[3, 4, 4, 4]","['bh', 'bh', 'bh', 'bh']",['ORG: दीया और बाती हम']
8,"[""'"", ""''"", 'किशनगंज', ""''"", ""'"", 'जिला', 'बिहार', 'के', '38', 'गो', 'जिला', 'में', 'से', 'एगो', 'ह।', 'ई', 'पूर्णिया', 'प्रमंडल', 'के', 'एगो', 'जिला', 'ह।']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']","['LOC: बिहार', 'ORG: पूर्णिया प्रमंडल']"
9,"['भारतीय', 'जनता', 'पार्टी']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: भारतीय जनता पार्टी']
10,"[""'"", ""''"", 'बाँसगाँव', ""''"", ""'"", 'भारत', 'की', 'उत्तर', 'प्रदेश', 'में', 'गोरखपुर', 'में', 'एगो', 'अस्थान', 'बाटे।']","[0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']","['LOC: उत्तर प्रदेश', 'LOC: गोरखपुर']"
11,"[""'"", ""''"", 'बेगुसराय', ""''"", ""'"", 'जिला', 'बिहार', 'के', '38', 'गो', 'जिला', 'में', 'से', 'एगो', 'ह।', 'ई', 'मुंगेर', 'प्रमंडल', 'के', 'एगो', 'जिला', 'ह।']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']","['LOC: बिहार', 'LOC: मुंगेर प्रमंडल']"
12,"['रिंकू', 'घोष']","[1, 2]","['bh', 'bh']",['PER: रिंकू घोष']
13,['मोर'],[5],['bh'],['LOC: मोर']
14,"['2013', '–', 'अरुन', 'राठी', 'क', 'रूप', 'मा', 'अशोक', 'लोखंडे', '–', 'दीया', 'और', 'बाती', 'हम']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['ORG: दीया और बाती हम']
15,"['अंतर्राष्ट्रीय', 'प्रकृति', 'संरक्षण', 'संघ']","[3, 4, 4, 4]","['bh', 'bh', 'bh', 'bh']",['ORG: अंतर्राष्ट्रीय प्रकृति संरक्षण संघ']
16,"['राष्ट्रपति]]', 'बराक', 'ओबामा']","[0, 1, 2]","['bh', 'bh', 'bh']",['PER: बराक ओबामा']
17,"['एकरी', 'आलावा', 'वाराणसी', 'जैन', 'तीर्थंकर', 'पार्श्वनाथ', 'के', 'भी', 'निवास', 'अस्थान', 'मानल', 'जाला।', 'भगवान', 'बुद्ध', '(', 'जन्म', '५६७', 'ई.पू', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['PER: भगवान बुद्ध']
18,"['के.', 'चंद्रशेखर', 'राव']","[1, 2, 2]","['bh', 'bh', 'bh']",['PER: के. चंद्रशेखर राव']
19,"['जन्मस्थल', ':', 'इलाहाबाद']","[0, 0, 5]","['bh', 'bh', 'bh']",['LOC: इलाहाबाद']
20,"['अल्मोड़ा', 'जिला']","[5, 6]","['bh', 'bh']",['LOC: अल्मोड़ा जिला']
21,['बुद्ध'],[1],['bh'],['PER: बुद्ध']
22,['लखनऊ'],[5],['bh'],['LOC: लखनऊ']
23,"['लालू', 'प्रसाद', 'यादव']","[1, 2, 2]","['bh', 'bh', 'bh']",['PER: लालू प्रसाद यादव']
24,"['आनंद', 'भवन']","[3, 4]","['bh', 'bh']",['ORG: आनंद भवन']
25,"['उर्वशी', 'चौधरी']","[1, 2]","['bh', 'bh']",['PER: उर्वशी चौधरी']
26,"[""'"", ""''"", 'इलाहाबाद', 'विश्वविद्यालय', ""''"", ""'"", '(', ')', 'भारत', 'देश', 'की', 'उत्तर', 'प्रदेश', 'राज्य', 'में', 'इलाहाबाद', 'में', 'एगो', 'केन्द्रीय', 'विश्वविद्यालय', 'बा।', 'ई', 'भारत', 'क', 'चौथा', 'सबसे', 'पुरान', 'इन्वर्सीटी', 'ह।']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']","['LOC: भारत', 'LOC: उत्तर प्रदेश', 'LOC: इलाहाबाद']"
27,"['१९२६', 'में', '१९', 'वर्ष', 'की', 'उम्र', 'में', 'उनका', 'बियाह', 'श्यामा', 'बच्चन', 'से', 'भइल', 'जे', 'ओह', 'समय', '१४', 'बरिस', 'के', 'रहलीं।', 'लेकिन', '१९३६', 'में', 'श्यामा', 'के', 'टीबी', 'के', 'कारण', 'निधन', 'हो', 'गइल।', 'पांच', 'साल', 'बाद', '१९४१', 'में', 'बच्चन', 'जी', 'एक', 'पंजाबन', 'तेजी', 'सूरी', 'से', 'बियाह', 'कइलें', 'जे', 'रंगमंच', 'तथा', 'गायन', 'से', 'जुड़ल', 'रहलीं।', 'तेजी', 'बच्चन', 'से', 'अमिताभ', 'आ', 'अजिताभ', 'दू', 'जाना', 'लड़िका', 'लोग', 'भइल।', 'अमिताभ', 'बच्चन', 'एगो', 'प्रसिद्ध', 'अभिनेता', 'हवें।']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['PER: अमिताभ बच्चन']
28,"['मेलबोर्न', 'क्रिकेट', 'ग्रांउड']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: मेलबोर्न क्रिकेट ग्रांउड']
29,"['ए॰', 'पी॰', 'जे॰', 'अब्दुल', 'कलाम']","[1, 2, 2, 2, 2]","['bh', 'bh', 'bh', 'bh', 'bh']",['PER: ए॰ पी॰ जे॰ अब्दुल कलाम']
30,['तराई'],[5],['bh'],['LOC: तराई']
31,"['कार्ल', 'लिन्नायस']","[1, 2]","['bh', 'bh']",['PER: कार्ल लिन्नायस']
32,"['मानव', 'भूगोल']","[3, 4]","['bh', 'bh']",['ORG: मानव भूगोल']
33,"['चन्द्रोदयपुर', 'सिराहा', 'जिला', 'क', 'एगो', 'गाविस', 'बा', '।']","[5, 0, 0, 0, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['LOC: चन्द्रोदयपुर']
34,"['भारतीय', 'जनता', 'पार्टी']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: भारतीय जनता पार्टी']
35,['परधानमंत्री'],[1],['bh'],['PER: परधानमंत्री']
36,"['परंपरा', 'में', 'इनके', 'अंजनी', 'पुत्र', ',', 'पवन', 'पुत्र', ',', 'आ', 'शिव', 'के', 'अवतार', 'के', 'रूप', 'में', 'मानल', 'जाला।']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['ORG: शिव']
37,"['भारतीय', 'जनता', 'पार्टी']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: भारतीय जनता पार्टी']
38,"['कार्ल', 'लिन्नायस']","[1, 2]","['bh', 'bh']",['PER: कार्ल लिन्नायस']
39,"['भगवान', 'बुद्ध']","[1, 2]","['bh', 'bh']",['PER: भगवान बुद्ध']
40,"['चंडि', 'कालासन']","[3, 4]","['bh', 'bh']",['ORG: चंडि कालासन']
41,"['भारतीय', 'जनता', 'पार्टी']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: भारतीय जनता पार्टी']
42,"['पटना', 'शहर', 'मा', 'भूखी', 'पीढी', 'आन्दोलन', 'शुरु', 'भलेल।']","[0, 0, 0, 3, 4, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['ORG: भूखी पीढी']
43,"['अंतर्राष्ट्रीय', 'प्रकृति', 'संरक्षण', 'संघ']","[3, 4, 4, 4]","['bh', 'bh', 'bh', 'bh']",['ORG: अंतर्राष्ट्रीय प्रकृति संरक्षण संघ']
44,"['चंद्रशेखर', 'आजाद']","[1, 2]","['bh', 'bh']",['PER: चंद्रशेखर आजाद']
45,"['राहुल', 'सांकृत्यायन']","[1, 2]","['bh', 'bh']",['PER: राहुल सांकृत्यायन']
46,"['मानव', 'भूगोल']","[3, 4]","['bh', 'bh']",['ORG: मानव भूगोल']
47,"['भारतीय', 'जनता', 'पार्टी']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: भारतीय जनता पार्टी']
48,"['पातो', 'सप्तरी', 'जिला', 'क', 'एगो', 'गाविस', 'बा', '।']","[5, 0, 0, 0, 0, 0, 0, 0]","['bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh', 'bh']",['LOC: पातो']
49,"['भारतीय', 'जनता', 'पार्टी']","[3, 4, 4]","['bh', 'bh', 'bh']",['ORG: भारतीय जनता पार्टी']
50,"['नागालैंड', '(', 'कोहिमा', ')']","[5, 0, 5, 0]","['bh', 'bh', 'bh', 'bh']","['LOC: नागालैंड', 'LOC: कोहिमा']"
51,"['नरेंद्र', 'मोदी']","[1, 2]","['bh', 'bh']",['PER: नरेंद्र मोदी']
