,tokens,ner_tags,langs,spans
0,"['Tróndur', 'í', 'Gøtu']","[1, 2, 2]","['fo', 'fo', 'fo']",['PER: Tróndur í Gøtu']
1,"['Hann', 'var', 'pápi', 'at', 'tí', 'kenda', 'Hannibal', '.']","[0, 0, 0, 0, 0, 0, 1, 0]","['fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo']",['PER: Hannibal']
2,"['John', 'McCain', '(', 'R', ')']","[1, 2, 0, 0, 0]","['fo', 'fo', 'fo', 'fo', 'fo']",['PER: John McCain']
3,"[""'"", ""''"", 'Tónleikur', ""''"", ""'""]","[0, 0, 5, 0, 0]","['fo', 'fo', 'fo', 'fo', 'fo']",['LOC: Tónleikur']
4,"['Nes', 'Sóknar', 'Ítróttarfelag']","[3, 4, 4]","['fo', 'fo', 'fo']",['ORG: Nes Sóknar Ítróttarfelag']
5,"['Buenos', 'Aires', '(', 'føderalt', 'distrikt', ')']","[5, 6, 0, 0, 0, 0]","['fo', 'fo', 'fo', 'fo', 'fo', 'fo']",['LOC: Buenos Aires']
6,"['La', 'Liga', '1960-61', ',', '1961-62', ',', '1962-63', ',', '1963-64', ',', '1964-65']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo']",['ORG: La Liga']
7,"['Nógvir', 'menn', 'eru', 'til', 'fiskiskap', 'við', 'skipum', ',', 'ið', 'hoyra', 'heima', 'ymsastaðni', 'í', 'landinum', ',', 'og', 'nógv', 'av', 'heimafólkunum', 'arbeiða', 'í', 'Havn', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","['fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo']",['LOC: Havn']
8,"['Hann', 'kom', 'sostatt', 'at', 'svimja', 'ímóti', 'stórabeiggja', 'sínum', ',', 'Pál', 'Joensen', 'í', '400', 'metrum', 'frí', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]","['fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo']",['PER: Pál Joensen']
9,"['N.T', '.', 'vísir', 'meira', 'enn', '40', 'ferðir', 'aftur', 'til', '3', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo', 'fo']",['ORG: N.T .']
