,tokens,ner_tags,langs,spans
0,"['टैपी', 'ने', 'अपने', 'उत्पादों', 'को', 'एशिया', 'के', 'अपतटीय', 'भागों', 'में', 'भेजने', 'का', 'फैसला', 'लिया।', 'उन्होंने', 'प्रोमोशन', 'के', 'लिए', 'मैडोना', 'को', 'अपने', 'साथ', 'मिलाया।']","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi']","['LOC: एशिया', 'PER: मैडोना']"
1,"['केष्टो', 'मुखर्जी', '-', 'गुलु']","[1, 2, 0, 0]","['hi', 'hi', 'hi', 'hi']",['PER: केष्टो मुखर्जी']
2,"['कादर', 'ख़ान', '-', 'मैने्जर']","[1, 2, 0, 0]","['hi', 'hi', 'hi', 'hi']",['PER: कादर ख़ान']
3,"['(', 'जम्मू', 'और', 'कश्मीर', ')']","[0, 5, 6, 6, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['LOC: जम्मू और कश्मीर']
4,"['गुलशन', 'ग्रोवर', '-', 'अतिथि', 'भूमिका']","[1, 2, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['PER: गुलशन ग्रोवर']
5,"['एअर', 'इंडिया', 'क्षेत्रीय']","[3, 4, 4]","['hi', 'hi', 'hi']",['ORG: एअर इंडिया क्षेत्रीय']
6,"[""'"", ""''"", 'भालचंद्र', 'नेमाडे', ""''"", ""'""]","[0, 0, 1, 2, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi']",['PER: भालचंद्र नेमाडे']
7,"['भारतीय', 'अंतरिक्ष', 'अनुसंधान', 'संगठन']","[3, 4, 4, 4]","['hi', 'hi', 'hi', 'hi']",['ORG: भारतीय अंतरिक्ष अनुसंधान संगठन']
8,"[""'"", ""''"", 'बुल्गारिया', ""''"", ""'""]","[0, 0, 5, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['LOC: बुल्गारिया']
9,"['**', 'अल्जीयर्स', '(', 'दूतावास', ')']","[0, 5, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['LOC: अल्जीयर्स']
10,"['डेनियला', 'हंचुकोवा', 'ने', 'स्वेतलाना', 'कुज़नेतसोवा', 'को', '6–3', ',', '6–4', 'से', 'हराया।']","[1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi']","['PER: डेनियला हंचुकोवा', 'PER: स्वेतलाना कुज़नेतसोवा']"
11,"['भारतीय', 'दूरसंचार', 'विनियामक', 'प्राधिकरण']","[3, 4, 4, 4]","['hi', 'hi', 'hi', 'hi']",['ORG: भारतीय दूरसंचार विनियामक प्राधिकरण']
12,"['वैद्यनाथ', 'मन्दिर', ',', 'देवघर']","[3, 4, 4, 4]","['hi', 'hi', 'hi', 'hi']","['ORG: वैद्यनाथ मन्दिर , देवघर']"
13,"['रॉनित', 'रॉय', '(', 'के', '.']","[1, 2, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['PER: रॉनित रॉय']
14,"['किशनगंज', ',', 'बिहार', 'का', 'एक', 'प्रखण्ड।']","[5, 0, 5, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi']","['LOC: किशनगंज', 'LOC: बिहार']"
15,"['रब', 'से', 'सोणा', 'इश्\u200dक']","[3, 4, 4, 4]","['hi', 'hi', 'hi', 'hi']",['ORG: रब से सोणा इश्\u200dक']
16,"['और', 'मेसाचुसेट्स', 'प्रौद्योगिक', 'संस्थान', '.']","[0, 3, 4, 4, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['ORG: मेसाचुसेट्स प्रौद्योगिक संस्थान']
17,"[""'"", ""''"", 'सज़ेस्टोंचोवा', ""''"", ""'"", 'पोलैंड']","[0, 0, 0, 0, 0, 5]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi']",['LOC: पोलैंड']
18,"['**', 'पारामरिबो', '(', 'दूतावास', ')']","[0, 5, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi']",['LOC: पारामरिबो']
19,"['राज', 'कपूर', ',', 'नर्गिस', ',', 'पृथ्वीराज', 'कपूर', ',', 'लीला', 'चिटनिस', ',', 'के', 'एन', 'सिंह', ',', 'शशि', 'कपूर']","[1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 0, 1, 2, 2, 0, 1, 2]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi', 'hi']","['PER: राज कपूर', 'PER: नर्गिस', 'PER: पृथ्वीराज कपूर', 'PER: लीला चिटनिस', 'PER: के एन सिंह', 'PER: शशि कपूर']"
20,"['नवादा', ',', 'बिहार', 'का', 'एक', 'प्रखण्ड।']","[5, 0, 5, 0, 0, 0]","['hi', 'hi', 'hi', 'hi', 'hi', 'hi']","['LOC: नवादा', 'LOC: बिहार']"
