,tokens,ner_tags,langs,spans
0,"['Šwedski', 'sydrik', '(', ""''Galium"", 'suecicum', ""''"", ')']","[5, 6, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Šwedski sydrik']
1,"['WEITERLEITUNG', 'Křesćansko-demokratiska', 'unija', 'Němskeje']","[0, 3, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Křesćansko-demokratiska unija Němskeje']
2,"['Richard', 'von', 'Weizsäcker', '(', '1920–2015', ')']","[1, 2, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Richard von Weizsäcker']
3,"['Lermontow', ',', 'Michail', 'Jurjewič']","[1, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']","['PER: Lermontow , Michail Jurjewič']"
4,"['WEITERLEITUNG', 'Warlam', 'Tichonowič', 'Šalamow']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Warlam Tichonowič Šalamow']
5,"[""'"", ""''"", '-', 'Carl', 'von', 'Linné', '(', '1707-1778', ')']","[0, 0, 0, 1, 2, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Carl von Linné']
6,"['Pjelsćojta', 'aronija', '(', ""''Aronia"", 'arbutifolia', ""''"", '(', 'L.', ')', 'Pers.', ',', 'Syn', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Pjelsćojta aronija']
7,"['Leži', 'štyri', 'kilometry', 'wot', 'Moskowskeje', 'měšćanskeje', 'hranicy', '.']","[0, 0, 0, 0, 5, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Moskowskeje']
8,"[""'"", ""''"", 'Čuchloma', ""''"", ""'"", '(', ')', 'je', 'městačko', 'w', 'Ruskej', 'federaciji', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Ruskej federaciji']
9,"['TT', 'Trinidad', 'a', 'Tobago']","[0, 3, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Trinidad a Tobago']
