,tokens,ner_tags,langs,spans
0,"['Jared', 'Leto']","[1, 2]","['co', 'co']",['PER: Jared Leto']
1,"['Pudemu', 'dunqua', 'capiscia', 'parchì', 'Omeru', 'dici', 'chì', 'quista', 'prima', 'coppia', 'dighjà', 'da', 'moltu', 'tempu', ""s'astinia"", 'da', 'u', 'prucreà', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co']",['PER: Omeru']
2,"['Adam', 'Opel']","[1, 2]","['co', 'co']",['PER: Adam Opel']
3,"['L', ""''"", ""''Arizona"", ""''"", ""'"", 'hè', 'un', 'statu', 'di', 'i', 'Stati', 'Uniti', ""d'America"", '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0]","['co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co']","[""LOC: Stati Uniti d'America""]"
4,['Riberbula'],[3],['co'],['ORG: Riberbula']
5,"['Osasco', '(', 'São', 'Paulo', ')']","[5, 6, 6, 6, 6]","['co', 'co', 'co', 'co', 'co']",['LOC: Osasco ( São Paulo )']
6,"['Tiurema', 'di', 'Pitagora']","[3, 4, 4]","['co', 'co', 'co']",['ORG: Tiurema di Pitagora']
7,"['Donald', 'Sutherland']","[1, 2]","['co', 'co']",['PER: Donald Sutherland']
8,"['U', 'piralzu', 'hè', 'endemicu', 'di', 'a', 'Corsica', 'è', 'di', 'a', 'Calabria', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0]","['co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co']","['LOC: Corsica', 'LOC: Calabria']"
9,['Maredda'],[5],['co'],['LOC: Maredda']
10,"['Ci', 'si', 'trova', 'quantunque', ',', 'dapoi', 'pocu', 'tempu', ',', 'un', 'Quick', 'in', 'Aiacciu', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","['co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co']",['LOC: Aiacciu']
11,"['A', 'Cialamella']","[0, 3]","['co', 'co']",['ORG: Cialamella']
12,['Volkswagen'],[3],['co'],['ORG: Volkswagen']
13,['Medea'],[1],['co'],['PER: Medea']
14,"['A', 'fabrica', 'pìù', 'impurtante', 'hè', 'FIAT', '.']","[0, 0, 0, 0, 0, 3, 0]","['co', 'co', 'co', 'co', 'co', 'co', 'co']",['ORG: FIAT']
15,"[""'"", ""''"", 'Grover', 'Cleveland', ""''"", ""'""]","[0, 0, 1, 2, 0, 0]","['co', 'co', 'co', 'co', 'co', 'co']",['PER: Grover Cleveland']
16,"['Da', 'Gama', 'ci', 'si', 'ritirò', ',', 'ma', 'fù', 'richjamatu', 'in', 'sirviziu', 'in', 'u', '1524', ',', 'par', 'vultà', 'in', 'India', 'da', 'Vicirè', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]","['co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co', 'co']",['LOC: India']
17,"['RINVIA', 'Golia']","[0, 1]","['co', 'co']",['PER: Golia']
18,"['Nelson', 'Mandela']","[1, 2]","['co', 'co']",['PER: Nelson Mandela']
19,"[""'Ndrangheta""]",[3],['co'],"[""ORG: 'Ndrangheta""]"
