,tokens,ner_tags,langs,spans
0,"['«Когда', 'ломаются', 'копья»', '(', 'Погодин', ')', '—', ""''профессор"", 'Картавин', ""''""]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Погодин']
1,"['Архангельск', 'облаçĕ', ',', 'Коми', 'Республики', 'территорипе', 'юхать', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Архангельск облаçĕ', 'LOC: Коми Республики']"
2,"['Бичурин', 'Н.Я', '.', ',', '«Собрание', 'сведений»', '.']","[1, 2, 2, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Бичурин Н.Я .']
3,"['Вăл', 'çĕре', 'кĕнĕ', 'хыççăн', 'унăн', 'шăллĕ', 'Алмас', '(', 'Алмуш', ')', 'патша', 'пулса', 'тăрать', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Алмас']
4,"['Шупашкар', 'ГЭСне', 'хута', 'кĕртнĕ', 'май', 'музей', 'хупаççĕ', '.']","[3, 4, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Шупашкар ГЭСне']
5,"['перенаправление', 'Игнатьев', 'Ардалион', 'Васильевич']","[0, 1, 2, 2]","['cv', 'cv', 'cv', 'cv']",['PER: Игнатьев Ардалион Васильевич']
6,"['Вара', ',', 'резолюцисем', 'йышăнса', ',', 'Охатерпе', 'тепĕр', 'икĕ', 'çьшна', 'Кĕтерне', 'патша', 'майри', 'ячĕпе', 'хăйсене', 'хĕсĕрлекенсем', 'çинчен', 'çыру', 'çырса', 'пама', 'суйлаççĕ', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Кĕтерне']
7,"['Юханшыв', 'Кеть', 'юханшывăнн', 'сылтăм', 'çыранпе', 'вăрринчен', '547', 'км', 'юхса', 'кĕрет', '.']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Кеть']
8,"['перенаправление', 'Вăрçă', 'пуртисен', 'культури']","[0, 3, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Вăрçă пуртисен культури']
9,"['Хула', 'ертӳçи', '—', 'Николаев', 'Владимир', 'Викторович', '.']","[0, 0, 0, 1, 2, 2, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Николаев Владимир Викторович']
10,"['Ирина', 'Алфёрова', '—', ""''Анна"", 'Силина', ""''""]","[1, 2, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Ирина Алфёрова']
11,"['Тĕрĕссипе', ',', 'ку', 'Аслă', 'пурçăн', 'çулĕн', 'аяккалла', 'пăрăннă', 'пайĕ', 'шутланнă', '.']","[0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Аслă пурçăн çулĕн']
12,"['Юханшыв', 'бассейнĕ', '—', 'Чулман', 'Атăл', '.']","[0, 0, 0, 5, 6, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Чулман Атăл']
13,"['перенаправление', 'Блюхер', 'Василий', 'Константинович']","[0, 1, 2, 2]","['cv', 'cv', 'cv', 'cv']",['PER: Блюхер Василий Константинович']
14,"['Чăваш', 'патшалăх', 'И.', 'Н.', 'Ульянов', 'ячĕллĕ', 'университечĕ']","[3, 4, 4, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Чăваш патшалăх И. Н. Ульянов ячĕллĕ университечĕ']
15,"['Екатерина', 'II', 'патша', 'указĕпе', '1783-мĕш', 'çулта', 'никĕсленĕ', '.']","[1, 2, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Екатерина II']
16,"['перенаправление', 'Ростоцкий', 'Андрей', 'Станиславович']","[0, 1, 2, 2]","['cv', 'cv', 'cv', 'cv']",['PER: Ростоцкий Андрей Станиславович']
17,"['Раççей', 'чемпионĕ', '—', '9', 'хут', '(', '1992—1994', ',', '1996—2001', ')', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Раççей чемпионĕ']
18,"['Фёдоров', 'Николай', 'Васильевич']","[1, 2, 2]","['cv', 'cv', 'cv']",['PER: Фёдоров Николай Васильевич']
19,"['Чаплă', 'импровизатор', 'пулнăран', 'ăна', '«шурă', 'Армстронг', 'тенĕ', '.']","[0, 0, 0, 0, 0, 1, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Армстронг']
20,"['1876—1882', '—', 'Рихăрт', 'Вакнĕр']","[0, 0, 1, 2]","['cv', 'cv', 'cv', 'cv']",['PER: Рихăрт Вакнĕр']
21,"['Днепр', 'урлă', 'каçнă', 'чух', 'хăйĕн', 'паттăрлăхĕпе', 'палăрнă', '.']","[3, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Днепр']
22,"['Хантă-Манси', 'автономи', 'тăрăхĕ', '—', 'Югра', 'территорипе', 'юхать', '.']","[5, 6, 6, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Хантă-Манси автономи тăрăхĕ — Югра']
23,"['Ямал-Ненец', 'автономлă', 'тăрăхĕ', 'территорипе', 'юхать', '.']","[5, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Ямал-Ненец автономлă тăрăхĕ']
24,"['Юханшыв', 'бассейнĕ', '—', 'Чулман', 'Атăл', '.']","[0, 0, 0, 5, 6, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Чулман Атăл']
25,"['Хан', '(', 'титул', ')']","[3, 4, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Хан ( титул )']
26,"['Иван', 'Охлобыстин', '—', ""''лектор"", ""''""]","[1, 2, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['PER: Иван Охлобыстин']
27,"['Чăваш', 'патшалăх', 'университетĕнче', 'политика', 'экономин', 'кафедрине', ',', 'экономика', 'теорин', 'кафедрине', 'ертсе', 'пынă', ',', 'экономика', 'факультечĕн', 'деканĕ', 'пулса', 'ĕçленĕ', '.']","[3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Чăваш патшалăх университетĕнче']
28,"['Василий', 'Шукшин', 'çак', 'фильма', 'питĕ', 'юратнă', ',', 'ăна', 'вăл', 'хăйĕн', 'шĕкĕр', 'ĕçĕ', 'тесе', 'шутланă', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Василий Шукшин']
29,"['Хăш-пĕр', 'тĕпчевçĕсем', 'каланă', 'тăрăх', ',', 'вăл', 'Аттил', 'мăнукĕ', ',', 'Ирнак', 'ывăлĕ', 'пулнă', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['PER: Аттил', 'ORG: Ирнак']"
30,"['Мускавран', '642', 'çухрăмра', 'тухăç', 'еннелле', 'ларать', '.']","[5, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Мускавран']
31,"['Хантă-Манси', 'автономи', 'тăрăхĕ', '—', 'Югра', 'территорипе', 'юхать', '.']","[5, 6, 6, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Хантă-Манси автономи тăрăхĕ — Югра']
32,"['Шурă', 'пăрчăкан', '(', ')']","[5, 6, 0, 0]","['cv', 'cv', 'cv', 'cv']",['LOC: Шурă пăрчăкан']
33,"['Леонид', 'Куравлёв', '—', ""''Степан"", 'Воеводин', ""''""]","[1, 2, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Леонид Куравлёв']
34,"['Братислава', '(', 'Словаки', ')', ';']","[5, 0, 5, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Братислава', 'LOC: Словаки']"
35,"['перенаправление', 'Раççей', 'Федерацин', 'ТÇФ', 'Хура', 'тинĕс', 'флочĕ']","[0, 3, 4, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Раççей Федерацин ТÇФ Хура тинĕс флочĕ']
36,"['перенаправление', 'МПУ', 'физика', 'факультечĕ']","[0, 3, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: МПУ физика факультечĕ']
37,"['перенаправление', 'МПУ', 'физика', 'факультечĕ']","[0, 3, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: МПУ физика факультечĕ']
38,"['перенаправление', 'Хĕвел', 'тухăç', 'Европа']","[0, 5, 6, 6]","['cv', 'cv', 'cv', 'cv']",['LOC: Хĕвел тухăç Европа']
39,"['перенаправление', 'Сэнгер', 'Лоуренс', 'Марк']","[0, 1, 2, 2]","['cv', 'cv', 'cv', 'cv']",['PER: Сэнгер Лоуренс Марк']
40,"['Скумин', ',', 'Виктор', 'Андреевич']","[1, 2, 2, 2]","['cv', 'cv', 'cv', 'cv']","['PER: Скумин , Виктор Андреевич']"
41,"['Çĕн', 'Çĕпĕр', 'облаçĕ', ',', 'Омск', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 6, 0, 5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Çĕн Çĕпĕр облаçĕ', 'LOC: Омск облаçĕ']"
