,tokens,ner_tags,langs,spans
0,"['tilvísun', 'Rainier', '3.', 'fursti', 'af', 'Mónakó']","[0, 1, 2, 2, 2, 2]","['is', 'is', 'is', 'is', 'is', 'is']",['PER: Rainier 3. fursti af Mónakó']
1,"['CSI', ':', 'Crime', 'Scene', 'Investigation']","[3, 4, 4, 4, 4]","['is', 'is', 'is', 'is', 'is']",['ORG: CSI : Crime Scene Investigation']
2,"['Hann', 'var', 'einn', 'af', 'fyrstu', 'meðlimum', 'Greenpeace', '.']","[0, 0, 0, 0, 0, 0, 3, 0]","['is', 'is', 'is', 'is', 'is', 'is', 'is', 'is']",['ORG: Greenpeace']
3,"['tilvísun', 'Concerned', 'Women', 'for', 'America']","[0, 3, 4, 4, 4]","['is', 'is', 'is', 'is', 'is']",['ORG: Concerned Women for America']
4,"['Þá', 'nefndist', 'bærinn', 'Brattahlíð', 'og', 'lá', 'í', 'miðri', 'Eystribyggð', '.']","[0, 0, 0, 5, 0, 0, 0, 0, 5, 0]","['is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is']","['LOC: Brattahlíð', 'LOC: Eystribyggð']"
5,"['Marcia', 'Wallace', '(', 'Mrs.', 'Krabapple', ')', ';']","[1, 2, 0, 0, 0, 0, 0]","['is', 'is', 'is', 'is', 'is', 'is', 'is']",['PER: Marcia Wallace']
6,"['Hann', 'var', 'viðurkenndur', 'af', 'Bandaríkjunum', 'sem', '„hetja', 'sem', 'vinnur', 'að', 'binda', 'enda', 'á', 'nútímaþrælahald“', '.']","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is']",['LOC: Bandaríkjunum']
7,"['TILVÍSUN', 'Stofn', '(', 'málfræði', ')']","[0, 3, 4, 4, 4]","['is', 'is', 'is', 'is', 'is']",['ORG: Stofn ( málfræði )']
8,"['tilvísun', 'Pýramídinn', 'mikli', 'í', 'Gísa']","[0, 3, 4, 4, 4]","['is', 'is', 'is', 'is', 'is']",['ORG: Pýramídinn mikli í Gísa']
9,"['Heilaga', 'rómverska', 'ríkið']","[3, 4, 4]","['is', 'is', 'is']",['ORG: Heilaga rómverska ríkið']
