,tokens,ner_tags,langs,spans
0,"['**', 'Willis', 'Goldbeck', '—', 'mpanoratra', 'senariô', ',', 'talen-koronantsary', ',', 'mpamoaka', 'horonantsary']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg']",['PER: Willis Goldbeck']
1,"['Bouillac', ',', 'Dordogne']","[5, 6, 6]","['mg', 'mg', 'mg']","['LOC: Bouillac , Dordogne']"
2,"['**', 'Dorothy', 'Metcalf-Lindenburger', '—', 'mpanamory', 'sambon-danitra']","[0, 1, 2, 0, 0, 0]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg']",['PER: Dorothy Metcalf-Lindenburger']
3,"['I', ""'"", ""''"", 'Doméliers', ""''"", ""'"", 'dia', 'kaominina', 'ao', ""amin'ny"", ""fivondronan'i"", 'Beauvais', ',', 'ao', ""amin'ny"", ""departemantan'i"", 'Oise', ',', 'ao', ""amin'ny"", ""faritr'i"", 'Picardie', ',', 'ao', 'Frantsa', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 5, 0]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg']","['LOC: Oise', 'LOC: Picardie', 'LOC: Frantsa']"
4,"['I', ""'"", ""''"", 'Croissy-sur-Celle', ""''"", ""'"", 'dia', 'kaominina', 'ao', ""amin'ny"", ""fivondronan'i"", 'Beauvais', ',', 'ao', ""amin'ny"", ""departemantan'i"", 'Oise', ',', 'ao', ""amin'ny"", ""faritr'i"", 'Picardie', ',', 'ao', 'Frantsa', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 5, 0]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg']","['LOC: Oise', 'LOC: Picardie', 'LOC: Frantsa']"
5,"['FIHODINANA', '25049', 'Christofnorn', '(', '1998', 'QS45', ')']","[0, 3, 4, 4, 4, 4, 4]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg']",['ORG: 25049 Christofnorn ( 1998 QS45 )']
6,"['FIHODINANA', '22302', '(', '1990', 'OG4', ')']","[0, 3, 4, 4, 4, 4]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg']",['ORG: 22302 ( 1990 OG4 )']
7,"['32982', '(', '1996', 'VD38', ')']","[3, 4, 4, 4, 4]","['mg', 'mg', 'mg', 'mg', 'mg']",['ORG: 32982 ( 1996 VD38 )']
8,"['**', 'Yohan', 'Cabaye', '—', 'mpilalao', 'baolina', 'kitra']","[0, 1, 2, 0, 0, 0, 0]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg']",['PER: Yohan Cabaye']
9,"['FIHODINANA', 'Francis', 'II', ',', 'Mpanjaka', 'Romana', 'Masina']","[0, 1, 2, 2, 2, 2, 2]","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg']","['PER: Francis II , Mpanjaka Romana Masina']"
